Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
UK CCGT 2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK CCGT 2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
